neighborhoods,gifted,other_iep,not_iep_or_gifted,total_enrollment_k_12
"Allegheny Center, Allegheny West, California Kirkbride, Chateau, Manchester",12,89,250,351
"Allentown, Beltzhoover",15,148,366,529
"Banksville, Ridgemont, Oakwood, East Carnegie, Westwood",24,70,436,530
Beechview,44,166,540,750
"Bloomfield, Friendship",43,50,198,291
"Bluff, Central, North, South, West Oakland",11,36,152,199
Brighton Heights,39,130,397,566
Brookline,119,203,790,1112
Carrick,60,265,887,1212
Central Northside,18,21,95,134
"Central, Upper Lawrenceville",32,49,154,235
"Chartiers City, Esplen, Fairywood, Windgap",12,66,162,240
Crafton Heights,12,98,393,503
"Duquesne Heights, Mount Washington",28,124,335,487
"East Allegheny, Spring Garden, Troy Hill",18,55,199,272
"East Hills, Wilkinsburg Borough",26,198,603,827
"East Liberty, Larimer",37,168,503,708
Garfield,11,124,352,487
Greenfield,85,59,327,471
"Hays, Lincoln Place, New Homestead",27,61,255,343
"Hazelwood, Glen Hazel",30,185,420,635
Highland Park,83,45,254,382
Hill District,25,273,838,1136
"Homewood North, South, West",27,274,789,1090
"Knoxville, Bon Air",21,190,443,654
Lincoln-Lemington-Belmar,17,107,356,480
"Lower Lawrenceville, Polish Hill, Strip District",11,22,102,135
Marshall-Shadeland,12,107,317,436
Morningside,16,28,121,165
"Mt. Oliver Borough, Mt. Oliver, Arlington, Arlington Heights, St. Clair",20,217,530,767
Overbrook,17,55,192,264
Perry North,33,66,257,356
"Perry South, Fineview",18,133,348,499
Point Breeze,97,32,177,306
Point Breeze North,19,23,87,129
Shadyside,26,20,154,200
Sheraden,14,194,428,636
South Side Flats,15,24,70,109
South Side Slopes,13,48,116,177
"Spring Hill, Summer Hill, Northview Heights",13,171,589,773
Squirrel Hill North,108,20,200,328
"Squirrel Hill South, Regent Square, Swisshelm Park",242,69,440,751
Stanton Heights,32,45,230,307
"West End, Elliott",13,69,162,244
